"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"d:\myflutterapp\shop_app\assets\google-icon.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\myflutterapp\shop_app\assets\home\empty_cart.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\myflutterapp\shop_app\assets\onBoarding\onBoard1.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\myflutterapp\shop_app\assets\onBoarding\onBoard2.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\myflutterapp\shop_app\assets\onBoarding\onBoard3.svg", "XML", 0, 0, 1, 0, 0, 1
"d:\myflutterapp\shop_app\lib\cubit\cubitObserver.dart", "Dart", 0, 23, 0, 0, 5, 28
"d:\myflutterapp\shop_app\lib\cubit\home\homeCubit.dart", "Dart", 0, 227, 0, 0, 31, 258
"d:\myflutterapp\shop_app\lib\cubit\home\homeStates.dart", "Dart", 0, 17, 0, 0, 14, 31
"d:\myflutterapp\shop_app\lib\cubit\sign\signCubit.dart", "Dart", 0, 53, 0, 0, 8, 61
"d:\myflutterapp\shop_app\lib\cubit\sign\signStates.dart", "Dart", 0, 24, 0, 2, 11, 37
"d:\myflutterapp\shop_app\lib\dio\dioHelper.dart", "Dart", 0, 69, 0, 0, 9, 78
"d:\myflutterapp\shop_app\lib\generated_plugin_registrant.dart", "Dart", 0, 8, 0, 5, 5, 18
"d:\myflutterapp\shop_app\lib\main.dart", "Dart", 0, 71, 0, 0, 7, 78
"d:\myflutterapp\shop_app\lib\model\favoritesModel.dart", "Dart", 0, 51, 0, 0, 8, 59
"d:\myflutterapp\shop_app\lib\model\home\addCartModel.dart", "Dart", 0, 8, 0, 0, 2, 10
"d:\myflutterapp\shop_app\lib\model\home\cartModel.dart", "Dart", 0, 51, 0, 0, 7, 58
"d:\myflutterapp\shop_app\lib\model\home\cateogriesModel.dart", "Dart", 0, 31, 0, 0, 6, 37
"d:\myflutterapp\shop_app\lib\model\home\homeModel.dart", "Dart", 0, 56, 0, 0, 10, 66
"d:\myflutterapp\shop_app\lib\model\settings\faqModel.dart", "Dart", 0, 28, 0, 0, 6, 34
"d:\myflutterapp\shop_app\lib\model\sign\signInModel.dart", "Dart", 0, 30, 0, 0, 4, 34
"d:\myflutterapp\shop_app\lib\model\sign\signUpModel.dart", "Dart", 0, 26, 0, 0, 4, 30
"d:\myflutterapp\shop_app\lib\screens\cart.dart", "Dart", 0, 419, 0, 2, 5, 426
"d:\myflutterapp\shop_app\lib\screens\home\cateogries.dart", "Dart", 0, 111, 0, 0, 5, 116
"d:\myflutterapp\shop_app\lib\screens\home\favorites.dart", "Dart", 0, 186, 0, 1, 4, 191
"d:\myflutterapp\shop_app\lib\screens\home\home.dart", "Dart", 0, 77, 0, 0, 3, 80
"d:\myflutterapp\shop_app\lib\screens\home\products.dart", "Dart", 0, 427, 0, 7, 8, 442
"d:\myflutterapp\shop_app\lib\screens\home\settings.dart", "Dart", 0, 198, 0, 1, 5, 204
"d:\myflutterapp\shop_app\lib\screens\products\product.dart", "Dart", 0, 312, 0, 4, 5, 321
"d:\myflutterapp\shop_app\lib\screens\search.dart", "Dart", 0, 11, 0, 0, 3, 14
"d:\myflutterapp\shop_app\lib\screens\settings\faq.dart", "Dart", 0, 117, 0, 0, 5, 122
"d:\myflutterapp\shop_app\lib\screens\sign\on_boarding.dart", "Dart", 0, 123, 0, 0, 5, 128
"d:\myflutterapp\shop_app\lib\screens\sign\signIn.dart", "Dart", 0, 187, 0, 0, 4, 191
"d:\myflutterapp\shop_app\lib\screens\sign\signUp.dart", "Dart", 0, 175, 0, 0, 6, 181
"d:\myflutterapp\shop_app\lib\sharedpreference\sharedpreference.dart", "Dart", 0, 26, 0, 0, 7, 33
"d:\myflutterapp\shop_app\lib\style\theme.dart", "Dart", 0, 62, 0, 0, 4, 66
"d:\myflutterapp\shop_app\lib\widgets\appbarMain.dart", "Dart", 0, 74, 0, 0, 2, 76
"d:\myflutterapp\shop_app\lib\widgets\buttonMain.dart", "Dart", 0, 50, 0, 0, 3, 53
"d:\myflutterapp\shop_app\lib\widgets\textFieldGrey.dart", "Dart", 0, 71, 0, 4, 8, 83
"d:\myflutterapp\shop_app\pubspec.yaml", "YAML", 76, 0, 0, 0, 16, 92
"Total", "-", 76, 3399, 5, 26, 235, 3741